Date,Oct 29 2024
Time,01:50 AM
File Name,example_file.csv
Run Time,0:00:05.174690
Velocity at Max Compression,832.8542833646948
Time at Max Compression,9.29850070004179e-07
Velocity at Max Tension,455.48446309582215
Time at Max Tension,9.476500800048582e-07
Velocity at Recompression,575.3503141270239
Time at Recompression,9.557375800009482e-07
Carrier Frequency,2232999821.3534036
Spall Strength,1481969021.1778896
Spall Strength Uncertainty,86613360.76945479
Strain Rate,2334861.2102724537
Strain Rate Uncertainty,483269.87500015413
Peak Shock Stress,3270702056.201493
Spect Time Res,9.625000770028493e-10
Spect Freq Res,15624998.749953842
Spect Velocity Res,12.089538095301162
Signal Start Time,9.146875731777078e-07
